Country,Life expectancy,ISO-code
Austria,81.4,AUT
Azerbaijan,72.9,AZE
Bahrain,77.2,BHR
Bangladesh,72.3,BGD
Barbados,79.1,BRB
Belarus,74.6,BLR
Belgium,81.5,BEL
Honduras,75.1,HND
Hong Kong,84.7,HKG
Hungary,76.7,HUN
Iceland,82.9,ISL
India,69.4,IND
Indonesia,71.5,IDN
Iran,76.5,IRN
Iraq,70.5,IRQ
Ireland,82.1,IRL
Israel,82.8,ISR
Italy,83.6,ITA
Ivory Coast,57.4,CIV
Jamaica,74.4,JAM
Japan,84.5,JPN
Jordan,74.4,JOR
Kazakhstan,73.2,KAZ
Kenya,63.3,KEN
Kiribati,68.1,KIR
Kuwait,75.4,KWT
Kyrgyzstan,71.3,KGZ
Laos,67.6,LAO
Latvia,75.2,LVA
Lebanon,78.9,LBN